country,year,ovi_gas,ovi_oil
POL,2022,1.5174710011093406,2.3700446793616794
POL,2023,1.4521990481102949,2.3704088931632294
Romania,2001,3.109340629192416,0.3459657196354181
Romania,2002,3.006920206611578,0.3320851041161111
Romania,2003,2.782237935102428,0.3759256365173328
Romania,2004,2.940345968119143,0.3232673410366379
Romania,2005,2.943328500809162,0.3292036823123413
Romania,2006,2.8862240368581213,0.3411043132204726
Romania,2007,3.2111386338844645,0.3342030822757128
Romania,2008,3.3702598978068017,0.3474215902200085
Romania,2009,3.8732674112320646,0.3862628011322039
Romania,2010,3.7985766868182576,0.4069568155445459
Romania,2011,3.6902606299829466,0.3842818059764466
Romania,2012,3.802455846996593,0.3808480056625113
Romania,2013,4.165132515214066,0.4033914476499821
Romania,2014,4.383317751965511,0.3950730147424813
Romania,2015,4.595619136552781,0.3872347488763543
Romania,2016,4.541412965434526,0.3658586995956226
Romania,2017,4.221366481321391,0.3456734571211939
Romania,2018,4.1218034058557365,0.3445823335932407
Romania,2019,4.423243590011361,0.3253104912643722
Romania,2020,4.231754731754758,0.337639577482788
Romania,2021,4.119676713062699,0.3154865150432523
Romania,2022,4.907700530718578,0.3104803507970081
Romania,2023,5.228137304446889,0.3017947905034407
Slovakia,2001,11.765012311712065,9.619727842324249
Slovakia,2002,12.368588318222086,8.684166505014613
Slovakia,2003,12.802015156424533,9.203838629078724
Slovakia,2004,13.198508960108844,9.451087874049817
Slovakia,2005,12.294447505855532,7.976753307713219
Slovakia,2006,13.494313323142231,8.57503689737789
Slovakia,2007,14.25938017566778,8.095198710804716
Slovakia,2008,14.04691667479581,7.704011117022427
Slovakia,2009,16.39866815403119,8.212081323570494
Slovakia,2010,14.49552730097768,7.896415679273623
Slovakia,2011,15.650178071494006,7.977167665310885
Slovakia,2012,16.624369385056752,8.69021338013169
Slovakia,2013,15.9214950616412,8.621071805023654
Slovakia,2014,19.237637760032825,9.116081734971996
Slovakia,2015,18.706468664781248,8.359482305751575
Slovakia,2016,18.63018146177881,8.092875202404315
Slovakia,2017,17.543299948248556,7.234149087134261
Slovakia,2018,17.799785853745178,7.133994729364492
Slovakia,2019,17.759871851297135,7.507612517943086
Slovakia,2020,17.75105453213728,7.492674227707604
Slovakia,2021,15.945930180038197,7.116105015127538
Slovakia,2022,19.138846041517393,7.048445577355998
Slovakia,2023,20.104094403660415,7.1555147954719915
TUR,2001,9.191669214857887,5.666642664959905
TUR,2002,8.477090718524996,5.329273784313205
TUR,2003,7.035766668570417,5.425223807004928
TUR,2004,6.663419690000335,5.282628532454312
TUR,2005,5.483524381408055,5.312406910928217
TUR,2006,4.83110492593472,5.130588189544873
TUR,2007,4.162025215610323,5.024464149874414
TUR,2008,3.9960635428326974,5.112355076594629
TUR,2009,4.182824115009722,4.939339437220189
TUR,2010,3.937742442236973,5.12975091423513
TUR,2011,3.3712813810222073,5.331040586847059
TUR,2012,3.25615318744811,5.0820566659702235
TUR,2013,3.208216440318119,4.699348728860707
TUR,2014,3.023890685110483,4.599191625265629
TUR,2015,3.0691239923024933,3.933058569453249
TUR,2016,3.1694251830147886,3.6974637081816537
TUR,2017,2.735296851041228,3.4280917727410043
TUR,2018,2.986374799945821,3.411637344182025
TUR,2019,3.2532746987387138,3.3876543503713257
TUR,2020,3.052111929020133,3.58463944411291
TUR,2021,2.462209528850025,3.3644114492960475
TUR,2022,2.7690481114674075,3.2435522230465867
TUR,2023,2.9339258715155414,3.0412323360380693
UKR,2001,5.476715311004786,9.847861243481072
UKR,2002,5.564577053962083,9.624966149139684
UKR,2003,5.45518169903491,9.25738157978986
UKR,2004,5.498419598895159,9.256391206233053
UKR,2005,5.45518169903491,8.985272280127303
UKR,2006,5.624734643734644,8.777067177880593
UKR,2007,5.963185725449335,8.444214488708045
UKR,2008,6.277984368572604,8.825224087246562
UKR,2009,8.054304803521104,9.076258951686835
UKR,2010,7.2199542694946,9.36135381620156
UKR,2011,7.018470004828659,9.421012084634055
UKR,2012,7.599049980581364,9.55935546987935
