country,year,ovi_gas,lng_capacity_bcm,pipeline_capacity_bcm,total_capacity_bcm,gas_consumption_bcm
IDN,2011,0.2406486982401992,0.0,10.283953840000002,10.283953840000002,42.7343007263445
IDN,2012,0.321602736283795,4.08,11.028119344000002,15.108119344000002,46.97758333333333
IDN,2013,0.36862952013758093,4.08,12.061682544000002,16.141682544000002,43.788361111111115
IDN,2014,0.519207828036254,7.752000000000001,15.162372144000003,22.914372144000005,44.133333333333326
IDN,2015,0.6083310304967715,11.832,16.712716944000004,28.544716944000005,46.922999999999995
IDN,2016,1.3447176934386285,12.308,46.8782924992,59.1862924992,44.01391666666666
IDN,2017,1.2305635900283218,12.308,49.17280280320001,61.48080280320001,49.9615
IDN,2018,1.4741885843096065,12.308,51.239929203200006,63.547929203200006,43.107055555555554
IDN,2019,1.601203527331517,12.308,52.89363032320001,65.2016303232,40.72038888888889
IDN,2020,1.7311839798942226,12.308,52.89363032320001,65.2016303232,37.663027777777785
IDN,2021,1.6993505224667917,15.572000000000001,53.720480883200004,69.2924808832,40.77586111111111
IDN,2022,1.8320654829668888,15.844000000000001,57.1312394432,72.9752394432,39.83222222222222
IDN,2023,1.6796027299321983,15.844000000000001,57.1312394432,72.9752394432,43.44791666666667
IDN,2024,1.571071109593538,15.844000000000001,58.423193443200006,74.2671934432,47.271694444444435
IND,2000,0.17269459431666723,0.0,4.38,4.38,25.362693125
IND,2001,0.1722527655171672,0.0,4.38,4.38,25.4277485
IND,2002,0.16494433834678135,0.0,4.38,4.38,26.5544125
IND,2003,0.15407941882931758,0.0,4.38,4.38,28.4268985
IND,2004,2.081408318658837,20.400000000000002,43.435,63.83500000000001,30.669138500000003
IND,2005,2.188014716405485,27.200000000000003,47.905,75.105,34.325637500000006
IND,2006,2.093391517938802,27.200000000000003,47.905,75.105,35.8771875
IND,2007,2.1223382232465586,27.200000000000003,55.1685,82.36850000000001,38.81026082355537
IND,2008,2.835711891441162,27.200000000000003,86.1935,113.3935,39.98766600452181
IND,2009,2.3090597099947408,27.200000000000003,86.1935,113.3935,49.108084779781755
IND,2010,2.709364063194456,27.200000000000003,132.5485,159.74849999999998,58.96162209062803
IND,2011,2.657114862750185,27.200000000000003,132.9865,160.18650000000002,60.285877078796176
IND,2012,3.079595992515799,27.200000000000003,144.3307,171.53070000000002,55.699091834404
IND,2013,4.692553574399424,40.800000000000004,189.2257,230.0257,49.019301826391995
IND,2014,4.742644730197291,40.800000000000004,189.2257,230.0257,48.501566759867984
IND,2015,4.811564872051732,40.800000000000004,189.2257,230.0257,47.806837508544945
IND,2016,4.75164470478731,40.800000000000004,200.5407,241.3407,50.79098185873363
IND,2017,4.526470574882939,40.800000000000004,201.8182,242.6182,53.599862406324036
IND,2018,4.183340596581193,40.800000000000004,201.8182,242.6182,57.99628177497144
IND,2019,4.365550902686431,51.00000000000001,207.6582,258.6582,59.2498417189064
IND,2020,4.397906998526561,57.800000000000004,207.6582,265.4582,60.36012132337881
IND,2021,4.883617570026842,57.800000000000004,246.80444999999997,304.60445,62.37270745144072
IND,2022,5.9355966298369545,64.60000000000001,281.15355,345.75355,58.25085017771795
IND,2023,6.029101663945368,64.60000000000001,309.41184999999996,374.01185,62.03442417244817
IND,2024,5.383922282888277,64.60000000000001,313.79184999999995,378.39185,70.28181874070563
IRN,2008,0.016762254427719062,0.0,2.108468928,2.108468928,125.78671545
IRN,2009,0.015642109324102437,0.0,2.108468928,2.108468928,134.79441195
IRN,2010,0.23002108784668807,0.0,33.212606528,33.212606528,144.38939854999998
IRN,2011,0.2168029277297231,0.0,33.212606528,33.212606528,153.1926108
IRN,2012,0.21772257561246197,0.0,33.212606528,33.212606528,152.54553385
IRN,2013,0.24949165677687124,0.0,38.380422528000004,38.380422528000004,153.834493
IRN,2014,0.36868550691297597,0.0,63.93041490096001,63.93041490096001,173.40094390000002
IRN,2015,0.3474111170827825,0.0,63.93041490096001,63.93041490096001,184.01948515
IRN,2016,0.5301584960479191,0.0,104.08021096816,104.08021096816,196.31904750000004
IRN,2017,0.5076984947079293,0.0,104.08021096816,104.08021096816,205.00397785901586
IRN,2018,0.6782717700712103,0.0,144.23000703536002,144.23000703536002,212.64338779751606
IRN,2019,0.6604253957248789,0.0,144.23000703536002,144.23000703536002,218.38955311077044
IRN,2020,0.6091633922589481,0.0,144.23000703536002,144.23000703536002,236.76735809831717
IRN,2021,0.62836709245296,0.0,144.23000703536002,144.23000703536002,229.53144549999996
IRN,2022,0.6024612583441611,0.0,144.23000703536002,144.23000703536002,239.40129765649993
IRN,2023,0.5849138430525835,0.0,144.23000703536002,144.23000703536002,246.58333658619495
IRN,2024,0.5877497032396725,0.0,144.23000703536002,144.23000703536002,245.39358546735997
IRQ,2017,0.03165762546771632,0.0,0.36174712000000003,0.36174712000000003,11.426855762410261
IRQ,2018,0.02477644257878692,0.0,0.36174712000000003,0.36174712000000003,14.600446325160517
IRQ,2019,0.018555675022761873,0.0,0.36174712000000003,0.36174712000000003,19.49522825530476
IRQ,2020,0.019569631928006075,0.0,0.36174712000000003,0.36174712000000003,18.48512641069678
IRQ,2021,0.022031803877326814,0.0,0.36174712000000003,0.36174712000000003,16.41931464233295
IRQ,2022,0.01970125278742214,0.0,0.36174712000000003,0.36174712000000003,18.361630293427332
IRQ,2023,0.0510640675512646,0.0,0.9818850400000001,0.9818850400000001,19.22849250139071
