year,reporter,reporter_name,partner,partner_name,flow,flow_name,product_code,product_name,trade_value_raw_usd
2004,JPN,Japan,ROU,Romania,X,Export,2710,"Petroleum oils and oils from bituminous minerals, not crude; preparations n.e.c. containing by weight 70% or more of petroleum oils or oils from bituminous minerals; these being the basic constituents of the preparations; waste oils",42592.0
2004,JPN,Japan,RUS,Russian Federation,M,Import,2701,"Coal; briquettes, ovoids and similar solid fuels manufactured from coal",585999137.0
2004,JPN,Japan,RUS,Russian Federation,M,Import,2709,Petroleum oils and oils obtained from bituminous minerals; crude,442538731.0
2004,JPN,Japan,RUS,Russian Federation,M,Import,2710,"Petroleum oils and oils from bituminous minerals, not crude; preparations n.e.c. containing by weight 70% or more of petroleum oils or oils from bituminous minerals; these being the basic constituents of the preparations; waste oils",375234658.0
2004,JPN,Japan,RUS,Russian Federation,X,Export,2710,"Petroleum oils and oils from bituminous minerals, not crude; preparations n.e.c. containing by weight 70% or more of petroleum oils or oils from bituminous minerals; these being the basic constituents of the preparations; waste oils",2791589.0
2004,JPN,Japan,RUS,Russian Federation,X,Export,2711,Petroleum gases and other gaseous hydrocarbons,32224.0
2004,JPN,Japan,SAU,Saudi Arabia,M,Import,2709,Petroleum oils and oils obtained from bituminous minerals; crude,14990923275.0
2004,JPN,Japan,SAU,Saudi Arabia,M,Import,2710,"Petroleum oils and oils from bituminous minerals, not crude; preparations n.e.c. containing by weight 70% or more of petroleum oils or oils from bituminous minerals; these being the basic constituents of the preparations; waste oils",1136674216.0
2004,JPN,Japan,SAU,Saudi Arabia,X,Export,2710,"Petroleum oils and oils from bituminous minerals, not crude; preparations n.e.c. containing by weight 70% or more of petroleum oils or oils from bituminous minerals; these being the basic constituents of the preparations; waste oils",757586.0
2004,JPN,Japan,SAU,Saudi Arabia,M,Import,2711,Petroleum gases and other gaseous hydrocarbons,1955912084.0
2004,JPN,Japan,SDN,Sudan (...2011),M,Import,2709,Petroleum oils and oils obtained from bituminous minerals; crude,1276440985.0
